RCBC,site1,site2
0.692,2,20
0.208,2,19
0.03,2,18
0.492,2,17
0.468,2,16
0.116,2,15
0.02,2,14
0.526,2,13
0.404,2,12
-0.144,2,11
-0.612,2,10
0.16,2,9
0.0860000000000001,2,8
0.112,32,33
0.176,31,33
-0.538,31,32
0.94,30,33
0.012,30,32
-0.932,30,31
0.144,29,33
-0.606,29,32
-0.886,29,31
-0.998,29,30
0.596,28,33
-0.308,28,32
-0.816,28,31
-0.99,28,30
-0.966,28,29
0.744,27,33
0.89,27,32
0.762,27,31
0.904,27,30
0.116,27,29
-0.174,27,28
0.964,26,33
0.996,26,32
0.96,26,31
0.992,26,30
0.338,26,29
0.044,26,28
-0.618,26,27
0.844,25,33
0.962,25,32
0.752,25,31
0.96,25,30
0.34,25,29
0.026,25,28
-0.44,25,27
-0.918,25,26
0.802,24,33
0.968,24,32
-0.38,4,22
-0.708,4,21
-0.154,4,20
-0.64,4,19
-0.614,4,18
0.292,4,17
0.158,4,16
-0.43,4,15
-0.606,4,14
-0.334,4,13
-0.476,4,12
-0.67,4,11
-0.2,4,10
-0.372,4,9
-0.368,4,8
-0.508,4,7
-0.388,4,6
-0.334,4,5
0.724,3,33
0.97,3,32
0.678,3,31
0.998,3,30
0.44,3,29
0.0820000000000001,3,28
-0.284,3,27
0.25,3,26
-0.368,3,25
-0.076,3,24
-0.212,3,23
-0.114,3,22
-0.618,3,21
0.322,3,20
-0.088,3,19
-0.698,3,18
0.666,3,17
0.342,3,16
-0.0639999999999999,3,15
0.964,5,31
1,5,30
0.792,5,29
0.11,5,28
-0.918,5,27
-0.29,5,26
-0.842,5,25
-0.36,5,24
-0.126,5,23
0.688,5,22
-0.992,5,21
-0.202,5,20
0,5,19
-0.874,5,18
0.616,5,17
0.99,5,16
-0.684,5,15
-1,5,14
-0.184,5,13
-0.428,5,12
-0.88,5,11
0.428,5,10
0.556,5,9
-0.162,5,8
0.324,5,7
-0.842,5,6
0.686,4,33
0.932,4,32
0.672,4,31
0.958,4,30
0.394,4,29
0.404,4,28
-0.29,4,27
-0.146,4,26
-0.662,4,25
-0.406,4,24
-0.456,4,23
0.504,7,16
-0.43,7,15
-0.598,7,14
-0.022,7,13
-0.0679999999999999,7,12
-0.598,7,11
-0.588,7,10
-0.312,7,9
-0.63,7,8
0.932,6,33
0.994,6,32
0.898,6,31
0.992,6,30
0.502,6,29
0.0920000000000001,6,28
-0.73,6,27
-0.918,6,26
-0.934,6,25
-0.694,6,24
-0.53,6,23
-0.0600000000000001,6,22
-0.926,6,21
-0.92,6,20
-0.634,6,19
-0.956,6,18
-0.112,6,17
0.748,6,16
-0.812,6,15
-0.988,6,14
-0.746,6,13
-0.936,6,12
-0.828,6,11
0.168,6,10
0.104,6,9
-0.252,6,8
-0.072,6,7
0.988,5,33
1,5,32
0.4,8,29
0.004,8,28
-0.576,8,27
0.04,8,26
-0.34,8,25
-0.38,8,24
-0.604,8,23
-0.504,8,22
-0.872,8,21
0.1,8,20
-0.686,8,19
-0.772,8,18
0.168,8,17
0.324,8,16
-0.478,8,15
-0.736,8,14
-0.388,8,13
-0.45,8,12
-0.812,8,11
0.042,8,10
-0.816,8,9
0.744,7,33
0.966,7,32
0.8,7,31
0.994,7,30
0.574,7,29
0.0720000000000001,7,28
-0.328,7,27
0.25,7,26
-0.41,7,25
-0.422,7,24
0.106,7,23
-0.178,7,22
-0.774,7,21
0.354,7,20
-0.278,7,19
-0.524,7,18
0.22,7,17
