"Site1","Site2","BetaNTI","RCBC","Assembly_Process.BetaNTI","Assembly_Process.RCBC","Assembly_Process","TempConditionType","EpochType","Assembly_Process_expl","StochasticDeterministic","RCBC.nona"
"D307.5","D223.1",-1.09924254813693,0.996,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.996
"D308.7","D223.1",-1.41934455317858,0.874,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.874
"D231.0","D224.9",-1.73231145801258,-0.796,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.796
"D243.9","D224.9",-3.21674157447057,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.46
"D245.1","D224.9",-3.10128458438688,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.032
"D259.9","D224.9",-1.62531360788322,-0.624,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.624
"D261.2","D224.9",-3.05271427535445,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.894
"D271.1","D224.9",-3.07483482567651,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.666
"D275.0","D224.9",-1.42374856491437,-0.516,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.516
"D276.6","D224.9",-1.86851346939288,0.186,NA,"Drift","Drift","Cold-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.186
"D282.1","D224.9",-1.20855003257565,0.64,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.64
"D296.9","D224.9",-1.76746986207867,0.998,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.998
"D303.5","D224.9",-2.85779066749479,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.958
"D307.5","D224.9",-2.58871783292202,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",1
"D308.7","D224.9",-1.7836807276505,0.964,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.964
"D243.9","D231.0",-0.779946417920458,-0.974,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","LGS","Stochastic","Stochastic",-0.974
"D245.1","D231.0",-2.33507850357974,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.91
"D259.9","D231.0",-1.56040606803377,-0.784,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.784
