"Site1","Site2","BetaNTI","RCBC","Assembly_Process.BetaNTI","Assembly_Process.RCBC","Assembly_Process","TempConditionType","EpochType","Assembly_Process_expl","StochasticDeterministic","RCBC.nona"
"D223.1","D30.8",-3.01550295258846,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.208
"D224.9","D30.8",-2.70615328678519,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.692
"D231.0","D30.8",-2.2892871440033,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.07
"D243.9","D30.8",-2.86414543433298,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0
"D245.1","D30.8",-3.53279965225763,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.412
"D259.9","D30.8",-1.91931546726202,0.186,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.186
"D261.2","D30.8",-2.79966108737035,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.314
"D271.1","D30.8",-1.8978658688149,0.614,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.614
"D275.0","D30.8",-0.640703746138411,0.146,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.146
"D109.2","D100.0",-3.49563287830854,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Holocene","Homogenous (abiotic) selection","Deterministic",-0.822
"D125.0","D100.0",-2.35090562406498,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.0620000000000001
"D125.9","D100.0",-2.29034078873764,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.012
"D126.8","D100.0",-2.75031513085605,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.596
"D127.7","D100.0",-4.44541311318795,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.548
"D128.6","D100.0",-4.03703599573531,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.552
"D131.5","D100.0",-2.97074757460063,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Holocene","Homogenous (abiotic) selection","Deterministic",0.136
"D134.2","D100.0",-2.73251226468358,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.618
"D173.7","D100.0",-2.62411241395233,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.188
"D173.9","D100.0",-1.71808496730212,-0.004,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.004
"D180.9","D100.0",-0.744274050883477,-0.468,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.468
"D187.9","D100.0",-3.12239483928169,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.0639999999999999
"D198.7","D100.0",-4.3514578911077,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.342
"D205.3","D100.0",3.79811467605751,NA,"Heterogenous selection",NA,"Heterogenous selection","Warm-Cold","LGS:Holocene","Heterogenous (biotic) selection","Deterministic",0.666
"D207.6","D100.0",-2.9225375072233,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.698
"D223.1","D100.0",-3.76382396244883,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.088
"D224.9","D100.0",-2.55413764588308,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.322
"D231.0","D100.0",-2.41655780319318,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.618
"D243.9","D100.0",-0.617352199463238,-0.114,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.114
"D245.1","D100.0",-2.50613153692145,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.212
"D259.9","D100.0",-2.04815023553087,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.076
"D261.2","D100.0",-2.90101117855141,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.368
"D271.1","D100.0",-2.20023093124418,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.25
"D275.0","D100.0",-0.255800107434647,-0.284,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.284
"D125.0","D109.2",-2.61533742906524,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.334
"D125.9","D109.2",-2.901219438261,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.388
"D126.8","D109.2",-3.92935494168318,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.508
"D127.7","D109.2",-4.36898477849829,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.368
"D128.6","D109.2",-4.34275517213734,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.372
"D131.5","D109.2",-3.13056568643152,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Holocene","Homogenous (abiotic) selection","Deterministic",-0.2
"D134.2","D109.2",-2.44737132010614,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.67
"D173.7","D109.2",-3.51658945826655,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.476
"D173.9","D109.2",-1.86226863392147,-0.334,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.334
"D180.9","D109.2",-1.2056095604473,-0.606,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.606
"D187.9","D109.2",-3.77888337683628,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.43
"D198.7","D109.2",-4.65914372654147,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.158
"D205.3","D109.2",1.85427352721131,0.292,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.292
"D207.6","D109.2",-2.98653063886801,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.614
"D223.1","D109.2",-3.08801895197848,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.64
"D224.9","D109.2",-2.69200714435999,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.154
"D231.0","D109.2",-2.53767352555113,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.708
"D243.9","D109.2",-1.26742978809251,-0.38,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.38
"D245.1","D109.2",-1.99919917753569,-0.456,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.456
"D259.9","D109.2",-3.2613185954632,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.406
"D261.2","D109.2",-3.25026465120018,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.662
"D271.1","D109.2",-0.915911182661591,-0.146,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.146
"D275.0","D109.2",-0.870395511512736,-0.29,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.29
"D125.9","D125.0",-3.87726137292574,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.842
"D126.8","D125.0",-2.77337877957775,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.324
"D127.7","D125.0",-3.45348229772929,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.162
"D128.6","D125.0",-3.92214592585576,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.556
"D131.5","D125.0",-1.09928040499243,0.428,NA,"Drift","Drift","Warm-Cold","Holocene","Stochastic","Stochastic",0.428
"D134.2","D125.0",-2.57851622755587,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.88
"D173.7","D125.0",-4.35830192943775,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.428
"D173.9","D125.0",-3.68814818420384,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.184
"D180.9","D125.0",-2.88925323828208,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-1
"D187.9","D125.0",-2.88312338071018,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.684
"D198.7","D125.0",-3.197837629395,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.99
"D205.3","D125.0",-2.98597951235872,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.616
"D207.6","D125.0",-3.33430865751853,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.874
"D223.1","D125.0",-4.24826943188541,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0
"D224.9","D125.0",-3.69425244387027,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.202
"D231.0","D125.0",-0.867654098463099,-0.992,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.992
"D243.9","D125.0",-3.5988319657708,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.688
"D245.1","D125.0",-3.61777415672664,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.126
"D259.9","D125.0",-4.2078773615751,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.36
"D261.2","D125.0",-4.04306499493918,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.842
"D271.1","D125.0",-3.9704910682281,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.29
"D275.0","D125.0",-2.02325657773304,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.918
"D126.8","D125.9",-3.09886186803265,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.072
"D127.7","D125.9",-3.41286753457,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.252
"D128.6","D125.9",-3.41383448099247,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.104
"D131.5","D125.9",-3.05208784980587,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.168
"D134.2","D125.9",-2.80626635689143,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.828
"D173.7","D125.9",-3.33956737758561,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.936
"D173.9","D125.9",-2.99246964117538,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.746
"D180.9","D125.9",-2.47533501103534,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.988
"D187.9","D125.9",-3.13001436718301,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.812
"D198.7","D125.9",-2.88097068020912,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.748
"D205.3","D125.9",-3.46158493351357,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.112
"D207.6","D125.9",-3.0918146252943,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.956
"D223.1","D125.9",-3.9818748253722,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.634
"D224.9","D125.9",-3.8210374344855,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.92
"D231.0","D125.9",-2.12571199227956,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.926
"D243.9","D125.9",-3.6395112176761,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.0600000000000001
"D245.1","D125.9",-3.12752639175607,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.53
"D259.9","D125.9",-1.76024888299117,-0.694,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.694
"D261.2","D125.9",-3.01717225831936,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.934
"D271.1","D125.9",-4.27478062214921,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.918
"D275.0","D125.9",-2.90032402546865,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.73
"D127.7","D126.8",-3.91866395430892,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.63
"D128.6","D126.8",-4.96850745596857,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.312
"D131.5","D126.8",-3.70400899022759,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.588
"D134.2","D126.8",-2.97195677154467,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.598
"D173.7","D126.8",-3.79843436447457,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.0679999999999999
"D173.9","D126.8",-3.52344200419388,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.022
"D180.9","D126.8",-0.36375101570446,-0.598,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.598
"D187.9","D126.8",-2.89025680748336,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.43
"D198.7","D126.8",-4.25035849573009,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.504
"D205.3","D126.8",0.460269577312225,0.22,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.22
"D207.6","D126.8",-3.23433031390245,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.524
"D223.1","D126.8",-4.87804541259943,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.278
"D224.9","D126.8",-3.38447717329882,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.354
"D231.0","D126.8",-1.48626779139806,-0.774,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.774
"D243.9","D126.8",-2.21000185173059,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.178
"D245.1","D126.8",-3.10691897155092,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.106
"D259.9","D126.8",-1.79909918919836,-0.422,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.422
"D261.2","D126.8",-2.797961821987,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.41
"D271.1","D126.8",-1.82032099932001,0.25,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.25
"D275.0","D126.8",-0.801513719899162,-0.328,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.328
"D128.6","D127.7",-4.27329050146786,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.816
"D131.5","D127.7",-4.52896088318486,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.042
"D134.2","D127.7",-3.45362450903045,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.812
"D173.7","D127.7",-4.27220598753753,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.45
"D173.9","D127.7",-3.58600080351704,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.388
"D180.9","D127.7",-1.55520969868919,-0.736,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.736
"D187.9","D127.7",-4.01349590043088,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.478
"D198.7","D127.7",-4.84258853633393,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.324
"D205.3","D127.7",-1.10086541372741,0.168,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.168
"D207.6","D127.7",-3.58241736264515,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.772
"D223.1","D127.7",-3.77269638798158,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.686
"D224.9","D127.7",-3.64927917647306,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.1
"D231.0","D127.7",-2.64835030990648,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.872
"D243.9","D127.7",-2.29392786333919,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.504
"D245.1","D127.7",-3.05931383565848,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.604
"D259.9","D127.7",-2.27062484913886,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.38
"D261.2","D127.7",-3.79727081558413,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.34
"D271.1","D127.7",-3.87809060166271,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.04
"D275.0","D127.7",-1.38650046160195,-0.576,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.576
"D131.5","D128.6",-5.13737787260143,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.312
"D134.2","D128.6",-3.22044858295161,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.86
"D173.7","D128.6",-5.09833723154259,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.014
"D173.9","D128.6",-4.04507180881769,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.044
"D180.9","D128.6",-1.85390548424372,-0.544,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.544
"D187.9","D128.6",-4.20086068676617,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.214
"D198.7","D128.6",-5.39291769994443,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.302
"D205.3","D128.6",-0.598163537690244,0.789,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.789
"D207.6","D128.6",-4.01365400704163,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.63
"D223.1","D128.6",-2.92720264242048,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.318
"D224.9","D128.6",-3.5895998772648,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.59
"D231.0","D128.6",-3.09793515874884,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.8
"D243.9","D128.6",-2.30063152933464,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.104
"D245.1","D128.6",-3.45763769577909,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.164
"D259.9","D128.6",-2.62038371002949,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.024
"D261.2","D128.6",-4.4273862287263,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.1
"D271.1","D128.6",-3.77196611688964,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.33
"D275.0","D128.6",-1.86329548567219,-0.564,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.564
"D134.2","D131.5",-3.13548756827037,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.352
"D173.7","D131.5",-2.2407557648747,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.33
"D173.9","D131.5",-3.89173203571959,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.388
"D180.9","D131.5",-0.819735804108247,-0.332,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.332
"D187.9","D131.5",-2.87752440965696,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.052
"D198.7","D131.5",-3.66728187396503,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.668
"D205.3","D131.5",0.359906168872025,0.16,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.16
"D207.6","D131.5",-2.16541508889265,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.374
"D223.1","D131.5",-3.46774859301004,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0
"D224.9","D131.5",-2.33955863667428,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.544
"D231.0","D131.5",-0.694204807492023,-0.496,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.496
"D243.9","D131.5",-3.42687087045575,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.104
"D245.1","D131.5",-3.43324794883252,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.346
